cleaned_tweet,label
አሜን እውነት ብለሀል መሪዬ ዶር አብይ ብዙዎች ከአንተጋር መሆናችንን እንመሰክራለን,1
እወድሽ ነበረ ዛሬስ ጠላሁሽ ሰፌድ ቆሎ ያም ያም ዘገነሽ ወይ ጉድ,0
አጋር ፓርቲም ሆኖ የመኖር ፍላጎት አሳይታለችአሮጊቷ ,0
ከፍተኛ ሊግ ለ መከላከያ ሀምበሪቾ ወደ ሰንጠረዡ አናት ሲጠጉ ሶዶ ጨንቻ አሸንፈዋል,1
ይሄ ሽማግሌ ግን አይበቃውም ንስሀ አይገባም,0
ምንም ሲሰሩ አላየንም ከቄሮ ጋር ተደርበውወ ህዝብን ከማሰቃየት በስተቀር ለምሳሌ የክርስትያኖችን የአንገት ማህተብ ማስወለቅ የእምነት መገልገያዎችን ከምእምናኑ ላይ ቀምቶ ማቃጠል ምክንያቱ ደግሞ ከለሩን ስላልወዱት ይሄ ስራቸው,0
በልመናህ መጀመሪያ ላይ ትእዛዝ ወጥቶአል,0
በአዲሱ የፈረንጆች አመት ሰላም ሰላም ሰላም ለኢትዮጵያ,1
እናመሰግናለን አውሮፓ ዲያስፖራው ሀላፊነቱን ተወጥቷል በብዙ እጥፍ አትርፎ ቀሪው ሀላፊነት ሀገር ቤት ላለነው ነን እንፈተናለን ከወደቅን እንጠየቃለን…,1
ሁላችንም በጋራ ነፃ ስንወጣ ኢትዮጵያ ውስጥ ነፃነት የሚሰፍነው ሁላችንም በእኩል ተጠቃሚ የሚያደርግ ስርአት ሲመሰረት ርትኡነት የሚሰፍነው ሁሉንም በእኩል የሚዳኝ ስርአት ስናሰፍን ፍትህ የምትፀናው,1
እምነት የሚንቀለቀለውን ደመራ በንፁህ ውሀ እንደተሞላ ገንዳ ዘለህ እንድትገባበት የሚያስችልህ ልበሙሉነት ይሰጥሀል,1
በሀገር ውስጥም ሆነ በውጭ የሚኖሩ አማራዎች በአማራ ህዝብ ጥቅም ጉዳይ በአንድነት መስራት እንደሚገባ አቶ ዮሀንስ ቧያለው ጠየቁ,1
በዚህ ሁሉ መሀል ግን እንዴት እንዲህ ሆን የሚለውን ጥያቄ አንስተን መልስ መመለስ አለብን በመካከላችን ስምምነት አጥተን እየተሳሳብን መሆናችን ገና ከዚህም በላይ ዋጋ ያስከፍለናል ማንም ቢሆን ህብረት የሌለውን ሀገር አያከብርም አይፈራም,1
ቦርኮጥንብ ብቻ,0
ኢራን አስፋሪ የአፀፋ ምላሽ ልትሰጥ እንደምትችል እየተነገረ ይገኛል ግድያው በትራምፕ ትእዛዝ መፈፀሙን ፔንታጎን አስታውቋል,0
ሰው ነገረኛ አንዷ ዛሬ እንኳን ከቲም ለማ ወደ ተው ለማ በሰላም አሸጋገርን ትላለች,0
it is good ፍቱን መድሀኒት ከ የበአል ምግብ ብሗላ,1
መቻልስ የኔ ቆንጆ ኑሪ እያለ እንደሚዘፍነው ልጅ ቤቲ በቃ,1
ይሄን ያህል መብት የሰጠ መንግስት ነዉ የህግ ከለላዉ ለአራጁ ቄሮ ጀዋር ለሚመራዉ ቄሮ ይሄን ያህል ስልጣን ሰቶ እያሳረደና እያስገደለ ያለ መንግስት ነዉ,0
ይሀው መጣው ደሞ የት መሄጃ አለኝ,0
በለው እሺ እንግዲህ,0
የት ያለው መቅረፅሽ ና ትዊት ማድረግሽም ለበጎ ፈጣሪ ይርዳህ,1
ኢች አብይ እንዴት እንኳን አይሰማም አይነት አስተያየት ተደጋገመችሳ ለማንኛውም ቁልፉ የአቶ ለማ ሀሳብ ተቀባይነት ማግኘት አለመቻሉ ላይ የአዞ እንባው ግን ለትዝብት እንዳይዳርግ,0
የእኔ የጥበብ ስራን የማይደግፉ ከሆነ ለእኔ ለእኔ ምንም አይደሉም እናም በጥፋት የተረገሙ ናቸው,0
ቤት ልብ የሚገኝበት ,1
አክሱም ዛሬ ♥ ሰላም ለሀገራች ኢትዮጵያ❤,1
ነብሰ ገዳይ አንድ ቀን በእግዚብሄር ፍት ለፍርድ ትቀርባለህ,0
አንተም የኦሮሞ ህዝብ ብዙ ተስፋ ጥሎብክ ነበረ ነገር ግን አንተም ሁሉም ነገርለነፍጠኞች መልእክተኛ መሆንክን አሰዝኖኛል ሌላ ቀርቶ እንኳን የመጠክበትን አካባቢ መርሰትክ የመል,0
በል እንግዲህ አብረን እንውረግረግ,1
የሳይንስና ከፍተኛ ትምህርት ሚኒስቴር በሀገሪቱ በሚገኙ ከፍተኛ የትምህርት ተቋማት ላይ አበረታች የተቋማዊ ለውጥ ስኬቶች መገኘታቸውን ገለፀ,1
ቡና ወዳጆች በሙሉ እንኳን ደስስስ ያለን በቃ ማቱሳላን መሆን የምፈልገው,1
ጠሚኒስትሩ ከአልኮልና ሲጋራ ከኤክሳይዝ ታክስ የሚገኘዉ ገቢ የህብረተሰቡን ጤና ለማበልፀግ ያሉት ተወዳሽ ነዉ ሆኖም ገንዘብ ሚኒስቴር ይህንና በሲጋራ ላይ መጣል ያለበትን ብር በፓኮ ስራ…,1
ስራ ፈት ,0
አማርኛ እያወራን መግባባት ካልቻልንማ ምን ማድረግ ይቻላል ,0
አንዳንድ ሰው ሲያደናቅፍህ ቀስ በል እንጂ እያየህ አትሄድም ሲል ያስቀኛል ምናለ ከ ደቂቃ በፊት ቢነግረኝ የሱ ምክር ምን ይሰራል ካደናቀፈኝ በሗላ,0
የመጀመሪያው ሰው ነኝ ከቤታችን ልብሴ ላይ ተደርጎልኝ ከጏደኞቼ ጋር ባትጌ እየተባባልን የማይረሳ,1
ምግብ ቤት አስመሰላችሁት እኮ ዝርክርክ,0
ሀmeme ስጋውን ተዘልዝለው ጨረሰዋል አሁን ተራው በየቲቪው እየቀረበ ቅሌት መከናነብ,0
ዩኒቨርስቲዎች መዘጋት የለባቸውም ብዬ የማምነው ምክንያቱም መንግስት የተማሪዎችን ደህንነት የማስጠበቅ ግዴታ ስላለበት አልፎም ከዩኒቨርስቲ ውጭ የዜጎችን ደህንነት ማስጠበቅ ስለተሳነው መዘጋታቸው አሁን ላይ የግድ ሟች መቁጠር ይብቃ,1
አብንን ከምርጫው ብታስገባው የተሻለ ውድድር እናይ,1
የጎጃም ነፃ አውጪ ግንባር አቋቁሜ አባላት አስመለምልሀለኋ,0
ሀሳብ ብደግፍም ባደግፍም ሰው የመሰብሰብ መብቱ በምንም ተአምር ሊከለከል ይገባም አሁን ምን የሚሉት ነገር የመሰብሰብ የመደራጀትን መብት እያፈኑ ነፃና ፍትሀዊ ምርጫ እናደርጋለን የሚሉት,0
አውራ ጣቱ ጫማውን እየተሰናበተ ያለውን,0
ስለሆንኩ ነዋ ከደበረሽ ግን ይቀራል,0
ለኢትዮጵያ የማንሰራራት አመት የዘር የሀይማኖት አክራሪነት የሚለዝብበት በሰላም ምርጫው የሚጠናቀቅበት ፍትህ የሚፈፀምበት የመጠፋፋት የደናቁርት አጀንዳ የሚመክንበት የህዝባችን የኑ…,1
ወራዳ የሆነ ሰራ ሰርቶ የባጥ የቆጡን ከሚቀባጥሩ መጀመሪያ ለምን ሰርአት አይኖራቸውም ለምን ይርበተበታሉ መሰጅድ አቃጥከው ጎሸ እንዲባሉ የሚጠብቁት እረ ድንቁናቹንም በመጠኑ አድርጉት,0
ኢትዮጵያ ለምትኖሩና በድጋፍ ለመተባበር ለምትፈልጉ በዚህ የኢትዮጵያ ንግድ ባንክ አካውንት በቅርባችሁ ወደሚገኝ የባንክ ቅርንጫፍ በመሄድ ድጋፍ ማድረግ ትችላላችሁ…thanks,1
እራሱ ትዊተርም የዚህ ሸፍጥ ተባባሪ,0
my pm god bless you ሁሌም እንፀልይልሀለን አንተም ይህንን ፀሎት ፀልይ ኛ ነገስት,1
isis ህፃናትን በጥይት ደብድቦ ገደለ ሲባል ሰምቼ አላውቅም የእነዚህ ጭካኔ ወደር የማይገኝለት ሰው ግን እንዴት እንደዚ አውሬ የሆነው,0
ምንሊክማ የቋንቋ ለዛቸውም ደስ ይል,1
ርሁስ ጋማ ፍፄ የፍፄ ጋብቻ የፌዴራሊስት ሀይሎች መጭው ተስፋ ብሩህ እንደሆነ ያሳያል መልካም ጋብቻ,1
agreed bro የኢትዮጵያ ተስፋ እግዚአብሄር ብቻ none of the parties እርሱ በዘላለማዊ ጥበቡ ኢትዮጵያን ከዉድ ልጆችዋ ጋር ያስታርቅልን,1
የሚገርም ትዝታ,1
የ አማራ ምሁር ተብየዎች ለሆዳቸው ብቻ የሚኖሩት,0
ጥሩ ውሳኔ ብድሩ ሲያጨናንቃቸው አርፍው ይማራሉ አሁን ምግብና መኖሪያ ስለማያሳስባቸው ለመገዳደል ግዜ አግኝተዋል የሌሎች አፍሪካ ሀገራት ተማሪዎች ዩኒቨርቲ ለመማር ያለባቸውን መከራ ቢያዩ ጥሩ ethiopia ጥጋበኛ,1
ifiwenttoprison ምህረት የለም ምህረት የለም,0
የዘር ዛር ሲይዝህ ህሊናህ ይሞታል የዘር ፖለቲካ ነጋዴዎች ኢዜማና ብልፅግና ሊዋሀዱ የምትል ሀሰት እራሳቸው ፈብርከው እራሳቸው መልሰው ድሮም እንዲህ እንደሚሆን ገምተናል ይሉሀል ደነዝ ሁላ,0
በአራት ውስጥ ላስቀምጥህ በጣም ጥሩ የሆነ ደስታን ልሰጥህ እፈልጋለሁ,1
ትንሽ ከልክ አለፍክ እዚህ ላይ አትፃፍ በቃ እራስህ ትልቅ ችግር አለብህ እንዲህ አይነት ድርቅ ያለ ጥላቻ ከነሱ ምትለይበት ምንም ነገር የለም እንደውም ያንተ ይብሳል በትንሽ ሰዎች ችግር አንድ ትልቅ ብሄርን እንዲ ብሎ መናገር ነውር,0
